ID,Title,Category,Priority,Complexity,Value,Wave,Dependencies,Status
FE-01,Create base HTML template with responsive layout and red/black palette,Frontend,P0,XS,High,1,
FE-02,Landing page with MarketHighs sector breadth & ETF movers,Frontend,P0,S,High,1,FE-01
FE-03,ETF & Stock screener page with sortable market high/low deciles,Frontend,P0,M,High,1,FE-01
FE-04,ETF & Stock detail page with interactive Plotly price chart & deciles,Frontend,P0,M,High,1,FE-01
FE-05,MarketHighs composite decile panel (4w 12w 26w 52w ranges),Frontend,P0,M,High,1,FE-04
FE-06,Loading states and error handling for API calls,Frontend,P0,S,Medium,1,FE-01
FE-07,Responsive CSS (mobile-first red/black design),Frontend,P1,S,Medium,1,FE-01
BE-01,FastAPI app skeleton with config.py and Neon PostgreSQL connection,Backend,P0,S,High,1,
BE-02,SQLAlchemy models for Stock, MarketHighDetail, User, DigitalContent, Order,Backend,P0,M,High,1,
BE-03,MarketHighs importer script (parse MarketHighs/output/detail.csv & detail.json),Backend,P0,M,High,1,BE-02
BE-04,10-year ETF historical stock data loader (from MarketHighs data folder),Backend,P0,M,High,1,BE-02
BE-05,Schwab API client fallback for live quotes and fundamentals,Backend,P1,M,Medium,1,
BE-06,Fundamental & Decile metrics engine (off-high/off-low percentages & deciles),Backend,P0,M,High,1,BE-03;BE-04
BE-07,ETF & Sector universe seed (XLB XBI XLC XLY XLP DIA XLE XLF XLV XLI QQQ XLRE IWM),Backend,P0,S,High,1,BE-03
BE-08,Cache layer: store imported MarketHighs data in Neon PostgreSQL,Backend,P0,M,High,1,BE-02;BE-03
BE-09,API endpoint: GET /api/stocks (screener & deciles data),Backend,P0,S,High,1,BE-07;BE-06
BE-10,API endpoint: GET /api/stocks/{ticker} (detail + 10-year ETF history),Backend,P0,S,High,1,BE-04;BE-06
BE-11,API endpoint: GET /api/movers (sector market breadth & extreme deciles),Backend,P0,S,Medium,1,BE-03
BE-15,Frontend build script (compile Jinja2 templates to static HTML for Netlify),DevOps,P0,L,High,1,FE-01
DA-01,Unit tests for MarketHighs importer & detail parser,QA,P0,M,Medium,1,BE-03
DA-02,Unit tests for decile metrics engine,QA,P0,M,Medium,1,BE-06
DA-03,Unit tests for API endpoints (mock DB + endpoints),QA,P0,M,Medium,1,BE-09;BE-10
QA-04,Integration test: local dev server full build flow,SQA,P0,S,Medium,1,BE-15
DEPLOY-01,GitHub repository initialization with .gitignore and README,DevOps,P0,XS,High,1,
DEPLOY-02,Render web service deployment config and first deploy,DevOps,P0,M,High,1,DEPLOY-01
DEPLOY-03,Netlify frontend deployment and first build,DevOps,P0,M,High,1,DEPLOY-01;BE-15
DEPLOY-04,GoDaddy DNS configuration (CNAME www and api),DevOps,P0,S,Medium,1,DEPLOY-02;DEPLOY-03
HUMAN-01,Create GitHub repo thechasix-com (public, no initial files),Human,P0,XS,High,1,
HUMAN-02,Sign up for Render.com account,Backend,P0,XS,High,1,
HUMAN-03,Sign up for Netlify.com account,Frontend,P0,XS,High,1,
HUMAN-04,Sign up for Neon.tech and create database,Database,P0,XS,High,1,
HUMAN-05,Set up Stripe account & create digital content product,Payments,P0,XS,High,1,

PAY-01,Stripe Checkout session creation for One-Time Digital Content purchase,Payments,P0,L,High,2,HUMAN-05
PAY-02,Stripe webhook handler (payment completed -> unlock download link),Backend,P0,M,High,2,PAY-01
PAY-03,Digital content access control (signed token download URLs),Backend,P0,M,High,2,PAY-02
CO-01,Digital content catalog management (PDF deep dives & CSV datasets),Backend,P1,L,High,2,
CO-02,Digital report detail page with preview & purchase button,Frontend,P1,M,Medium,2,CO-01;FE-01
PAY-04,Stripe test mode integration tests (one-time purchases),QA,P0,M,Medium,2,PAY-01;PAY-02

REC-01,Similarity algorithm: Euclidean distance on duration deciles (4w 12w 26w 52w),ML,P1,L,High,3,
REC-02,Similar ETFs/stocks display on detail page,Frontend,P1,M,High,3,REC-01;FE-04
REC-03,Recommendation API: GET /api/stocks/{ticker}/similar,Backend,P0,S,High,3,REC-01
SEO-01,SEO metadata (title, description, Open Graph) per page,Frontend,P1,S,High,3,FE-01
SEO-02,Sitemap.xml generation (updated nightly via GitHub Actions),DevOps,P1,S,Medium,3,
AN-01,Server-side analytics logging (page views, interactions),Backend,P0,M,High,3,

AUTH-01,User registration with email verification,Auth,P2,L,Medium,4,
AUTH-02,User login with JWT session management,Auth,P2,M,Medium,4,
AUTH-03,Pro subscription tier creation ($9.99/mo),Payments,P2,L,Medium,4,AUTH-02;PAY-01

